parent_station,20260201,20260202,20260203,20260204,20260205,20260206,20260207,20260208,20260209,20260210,20260211,20260212,20260213,20260214,20260215,20260216,20260217,20260218,20260219,20260220,20260221,20260222,20260223,20260224,20260225,20260226,20260227,20260228
place-waban,89.0,88.65094339622641,94.225,93.734375,86.74468085106383,87.41825095057034,91.87264150943396,88.51041666666667,91.61538461538461,92.86666666666666,91.60975609756098,95.23076923076923,90.82758620689656,86.875,92.04444444444445,89.11574074074075,107.0,91.6,96.41666666666667,99.45652173913044,88.57894736842105,104.96774193548387,100.88,93.75555555555556,93.92682926829268,94.29268292682927,90.65789473684211,91.12903225806451
place-rsmnl,126.39593908629442,127.77358490566037,131.77142857142857,127.66037735849056,120.8,123.43445692883896,128.07177033492823,125.86046511627907,131.25925925925927,149.64285714285714,137.10256410256412,150.6,127.36486486486487,130.33333333333334,128.1904761904762,122.98076923076923,137.17391304347825,125.45714285714286,130.08,132.05,127.74074074074075,146.41666666666666,171.91666666666666,141.96969696969697,127.48,140.2962962962963,141.89285714285714,133.66666666666666
place-river,86.67592592592592,116.32407407407408,122.66666666666667,106.2,96.28,99.49640287769785,158.33333333333334,153.64285714285714,102.64516129032258,163.1891891891892,125.0,123.1304347826087,95.25925925925925,115.64102564102564,106.8695652173913,118.89285714285714,96.14814814814815,119.64,93.64,110.27272727272727,168.6153846153846,145.26666666666668,99.06666666666666,146.5909090909091,124.85,94.47222222222223,100.6470588235294,104.29411764705883
place-balsq,73.2,70.41132075471698,71.23364485981308,69.70114942528735,76.69736842105263,71.0265780730897,79.35211267605634,80.44776119402985,87.47916666666667,78.93333333333334,82.03703703703704,84.55555555555556,80.0813953488372,81.49397590361446,89.96551724137932,75.04782608695652,86.94117647058823,79.85416666666667,81.78048780487805,77.85454545454546,87.74,73.0,107.4090909090909,74.82352941176471,83.95454545454545,70.56,83.96969696969697,75.4
place-newtn,92.2974358974359,103.64454976303317,107.1651376146789,94.94736842105263,88.57142857142857,91.63396226415094,95.8,102.38461538461539,97.9090909090909,97.57894736842105,117.57575757575758,103.77272727272727,95.23456790123457,93.14285714285714,97.6590909090909,93.13084112149532,106.48275862068965,108.05128205128206,97.85714285714286,92.65,90.65625,105.44444444444444,141.73684210526315,95.51515151515152,93.42857142857143,96.76666666666667,94.74193548387096,107.7
place-eliot,88.77551020408163,90.46190476190476,89.0677966101695,94.40983606557377,85.45,86.65283018867925,102.90821256038647,91.49462365591398,92.3529411764706,92.43859649122807,97.25,99.625,89.79518072289157,87.70238095238095,92.4090909090909,89.58796296296296,102.76666666666667,90.975,89.96666666666667,90.075,85.21212121212122,107.03448275862068,155.2,90.94736842105263,86.94736842105263,92.85714285714286,90.3125,98.29166666666667
place-mgngl,60.82142857142857,60.0919540229885,58.391752577319586,57.0,54.93103448275862,60.78305084745763,62.33649289099526,62.296875,59.16279069767442,58.86666666666667,56.58695652173913,57.45070422535211,58.94047619047619,56.26923076923077,54.724137931034484,60.9825327510917,60.11538461538461,60.4,56.4054054054054,60.13333333333333,74.65217391304348,58.853658536585364,71.95238095238095,61.09090909090909,60.88235294117647,59.095238095238095,61.2,62.5
place-gilmn,74.99111111111111,74.31297709923665,73.32608695652173,74.78571428571429,72.79245283018868,74.45514950166113,76.79047619047618,76.765625,74.54761904761905,74.26666666666667,72.6590909090909,72.35384615384615,79.16666666666667,74.10958904109589,72.57575757575758,76.57894736842105,75.5,73.96875,72.0,75.70454545454545,91.6304347826087,75.425,87.28571428571429,74.75510204081633,75.58064516129032,75.66666666666667,78.92592592592592,73.9
place-gover,76.12389380530973,81.66976744186047,92.49537037037037,78.28070175438596,82.33333333333333,79.1827195467422,88.46725663716815,104.61538461538461,81.51219512195122,82.07142857142857,77.50909090909092,92.92682926829268,83.39247311827957,78.45930232558139,77.8108108108108,79.86688311688312,80.61904761904762,81.6923076923077,74.61904761904762,80.68,78.91228070175438,104.0,74.37037037037037,74.69491525423729,79.28125,75.075,70.02173913043478,75.03448275862068
place-chhil,140.52,142.7345971563981,142.71296296296296,155.16363636363636,127.83870967741936,137.2188679245283,148.08653846153845,139.75862068965517,139.9655172413793,137.65454545454546,147.0,155.68421052631578,141.72727272727272,136.3125,143.06976744186048,142.80568720379148,145.6153846153846,151.72972972972974,141.74074074074073,141.11904761904762,147.25,170.0,173.6,148.3783783783784,146.82142857142858,150.20689655172413,146.17241379310346,140.88888888888889
